Date,累计确诊,收盘
2020-12-14,16579854.0,29861.55
2020-12-15,16778238.0,30199.31
2020-12-16,17025611.0,30154.54
2020-12-17,17263371.0,30303.37
2020-12-18,17513586.0,30179.05
2020-12-21,18092697.0,30216.45
2020-12-22,18288260.0,30015.51
2020-12-23,18516365.0,30129.83
2020-12-24,18714115.0,30199.87
2020-12-28,19365764.0,30403.97
2020-12-29,19564269.0,30335.67
2020-12-30,19796299.0,30409.56
2020-12-31,20026002.0,30606.48
2021-01-04,20873003.0,30223.89
2021-01-05,21105133.0,30391.6
2021-01-06,21355575.0,30829.4
2021-01-07,21636430.0,31041.13
2021-01-08,21928946.0,31097.97
2021-01-11,22623370.0,31008.69
2021-01-12,22848793.0,31068.69
2021-01-13,23078959.0,31060.47
2021-01-14,23314520.0,30991.52
